Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.14     0.00       81     0.00     0.00  std::_Vector_base<std::optional<Piece>, std::allocator<std::optional<Piece> > >::_Vector_impl_data::_Vector_impl_data()
  0.00      0.14     0.00       81     0.00     0.00  std::_Vector_base<std::optional<Piece>, std::allocator<std::optional<Piece> > >::_Vector_base(unsigned long, std::allocator<std::optional<Piece> > const&)
  0.00      0.14     0.00       81     0.00     0.00  std::_Vector_base<std::optional<Piece>, std::allocator<std::optional<Piece> > >::~_Vector_base()
  0.00      0.14     0.00       81     0.00     0.00  std::allocator_traits<std::allocator<std::optional<Piece> > >::deallocate(std::allocator<std::optional<Piece> >&, std::optional<Piece>*, unsigned long)
  0.00      0.14     0.00       81     0.00     0.00  std::allocator_traits<std::allocator<std::optional<Piece> > >::allocate(std::allocator<std::optional<Piece> >&, unsigned long)
  0.00      0.14     0.00       81     0.00     0.00  std::vector<std::optional<Piece>, std::allocator<std::optional<Piece> > >::~vector()
  0.00      0.14     0.00       81     0.00     0.00  void std::_Destroy<std::optional<Piece>*>(std::optional<Piece>*, std::optional<Piece>*)
  0.00      0.14     0.00       81     0.00     0.00  void std::_Destroy<std::optional<Piece>*, std::optional<Piece> >(std::optional<Piece>*, std::optional<Piece>*, std::allocator<std::optional<Piece> >&)
  0.00      0.14     0.00       80     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<std::optional<Piece> >, std::optional<Piece> >::_S_select_on_copy(std::allocator<std::optional<Piece> > const&)
  0.00      0.14     0.00       80     0.00     0.00  std::_Vector_base<std::optional<Piece>, std::allocator<std::optional<Piece> > >::_M_get_Tp_allocator() const
  0.00      0.14     0.00       80     0.00     0.00  std::allocator_traits<std::allocator<std::optional<Piece> > >::select_on_container_copy_construction(std::allocator<std::optional<Piece> > const&)
